CITY OF LABORATORY,SERVICED REGIONS,LGA,LATITUDE,LONGITUDE
Arusha,Arusha,,-3.37171,36.694771
Arusha,Kilimanjaro,"Rombo, Moshi Urban, Hai, Siha, Moshi Rural",-3.37171,36.694771
Arusha,Manyara,"Babati, Mbulu, Hanang",-3.37171,36.694771
Bukoba,Kagera,,-1.32462,31.81813
Bukoba,Geita ,Chato,-1.32462,31.81813
Dar es Salaam,Dar es Salaam,,-6.81492,39.28841
Dar es Salaam,Pwani,,-6.81492,39.28841
Dodoma,Dodoma,,-6.18124,35.74816
Dodoma,Manyara,"Kiteto, Simanjiro",-6.18124,35.74816
Iringa,Iringa,,-7.770883,35.695211
Iringa,Njombe,"Njombe, Makete, Ludewa Na Makambako",-7.770883,35.695211
Kigoma,Kigoma,,-4.880948,29.659303
Kigoma,Tabora,"Urambo, Kaliua, Tabora Urban",-4.880948,29.659303
Mbeya,Mbeya,,-8.90519,33.463428
Mbeya,Songwe,,-8.90519,33.463428
Morogoro,Morogoro,,-6.802226,37.663418
Mtwara,Mtwara,,-10.27522,40.178332
Mtwara,Lindi,,-10.27522,40.178332
Musoma,Mara,,-1.509587,33.805489
Mwanza,Mwanza,,-2.492774,32.907766
Mwanza,Geita,,-2.492774,32.907766
Mwanza,Simiyu,Busega,-2.492774,32.907766
Singida,Singida,,-4.815708,34.740658
Singida,Tabora,Igunga,-4.815708,34.740658
Singida,Manyara,"Babati, Hanang",-4.815708,34.740658
Shinyanga,Shinyanga,,-3.671046,33.424899
Shinyanga,Tabora ,"Nzega, Uyui, Sikonge",-3.671046,33.424899
Shinyanga,Simiyu,"Meatu, Maswa, Bariadi",-3.671046,33.424899
Shinyanga,Geita,Bukombe,-3.671046,33.424899
Songea,Ruvuma,,-10.650823,35.647653
Sumbawanga,Rukwa,,-7.961031,31.624759
Sumbawanga,Katavi,,-7.961031,31.624759
Tanga,Tanga,,-5.082829,39.101497
Tanga,Kilimanjaro,"Same, Mwanga",-5.082829,39.101497